Timestamp,1. How comfortable are you with your surroundings in school ?,2. How would you rate the quality of your relationships with your classmates?,3. Do you have any close friends at school?,"4. If 'YES', how did they affect in your academics?",5. What is the part of your student life that you are unsatisfied with the most?,6. Do you sometimes feel isolated in your college  environment?,7. How often do external problems affect your academics ?,8. Does your personal relationship (Love Life) affect your academic level  ?,9. Do you feel comfortable seeking help or advice from friends when facing academic challenges?,"10. Are you engaged in any external activities  (Associations, Clubs, organizations...) outside of academics? ","11. If 'YES',How often are you engaged in these social activities ? ",1. Does your academic study affect your mental well-being?,2. If 'YES' rate it: ,3. Do you feel motivated to wake up and go to college?,4. How stresseful  school is for you?,5. How would you rate the university environment ?,6. Do you experience any sleep disorders during exams and assesment due to the university environment ?,7. Is it tough for you to fulfill your ambitions ?,"8. If you could choose any of these words to describe your mental health, which would suit you? ",9. Do academic results affect your mental health ?,"1. Are you engaged in any physical activities ? (gym, sport activity ...)","2. If ""NO"", tell us why ",3. Do you often have time to have lunch during the break,4. Does it cause you any eat disorders,5. How many hours of sleep do you get on an average night at university ?,6. How would you describe your daily routine?,7. How do you rate your overall health ?,1. How do you rate your emotional resilience ?,2. Have you ever felt like you lack a sense of purpose in your studies ?,3. How confident do you feel in your ability to overcome challenges in your academic life?,4. Have you ever received training or support in developing emotional resilience skills?,"5. If 'YES', did it help ?",6. How often do you engage in activities that help you relax and unwind?,Are you?,15.Age ,Status ,Level of education,Field of study,Location,Governorates,Your university ,How well do you describe yourself academically ?,Share your opinon about the surveys 
10/20/2023 19:39:56,8,8,Yes,Positive/Good,"Social life, Exams",Sometimes,Rarely,Agree,Neutral,No,Monthly,Yes,4,Often,6,Good,sometimes,No,trying my best,Yes,No,other reasons,No,No,6-7 hours,Challenging,5,9,No,Neutral,Yes,Quiet helpful,Weekly,Female,18-21,Taken,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,7,
10/20/2023 19:46:11,5,7,No,NULL,"Social life, Teacher, Subjects",Sometimes,Rarely,Disagree,Neutral,"Yes, occasionally",Weekly,Yes,7,Sometimes,5,Good,sometimes,No,trying my best,Yes,Yes,NULL,No,Yes,6-7 hours,Challenging,4,6,Yes,Confident,No,NULL,Weekly,Female,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,8,
10/20/2023 19:46:23,5,5,Yes,Normal,"Social life, Exams",Sometimes,Rarely,Disagree,Comfortable,"Yes, Too Much",Daily,No,NULL,Rarely,3,Good,sometimes,Yes,bored,No,No,other reasons,Yes,No,5-6 hours,Boring,5,7,Yes,Neutral,No,NULL,Weekly,Female,18-21,Single,Undergraduate (Bachelor),Business ,Tunisia,Sousse,Private,7,Loved all the questions nice keep up the good work 
10/20/2023 19:46:58,1,3,Yes,Normal,Schedule,Sometimes,Often,Disagree,Neutral,"Yes, Too Much",Weekly,Yes,7,Rarely,8,Stressful,sometimes,Yes,overwhelmed,Yes,No,Schedule,No,No,5-6 hours,Challenging,7,7,Yes,Confident,No,NULL,Rarely,Female,18-21,Taken,Undergraduate (Bachelor),Marketing ,Tunisia,NULL,Private,7,I like it
10/20/2023 19:47:55,9,9,No,NULL,Schedule,Sometimes,Always,Agree,Comfortable,"Yes, occasionally",Monthly,Yes,8,Always,5,Good,never,No,struggling,Yes,No,other reasons,Yes,No,6-7 hours,Boring,6,3,Yes,Confident,No,NULL,Never,Female,18-21,Taken,Undergraduate (Bachelor),"Business, management ",Tunisia,Monastir,Private,6,Long
10/20/2023 19:48:10,6,6,Yes,Normal,"Subjects, Exams",Rarely,Often,Agree,Comfortable,"Yes, Too Much",Daily,Yes,8,Sometimes,6,Good,occasionally,Yes,trying my best,Yes,No,Schedule,No,Yes,5-6 hours,Boring,6,4,Yes,Neutral,No,NULL,Rarely,Male,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Nabeul,Public,7,Fantastic 
10/20/2023 19:53:29,5,7,Yes,Normal,"Subjects, Schedule, Transportation plays a big role in student life",Rarely,Sometimes,Disagree,Neutral,"Yes, occasionally",Weekly,Yes,7,Sometimes,4,Toxic,sometimes,Yes,trying my best,No,No,Schedule,Yes,Yes,Less than 5 hours,Boring,4,7,Yes,Confident,No,NULL,Monthly,Female,18-21,Single,Undergraduate (Bachelor),Embedded systems ,Tunisia,Sousse,Public,6,"It's good, great job "
10/20/2023 19:53:59,5,8,Yes,Normal,Schedule,Sometimes,Sometimes,Agree,Neutral,"Yes, occasionally",Monthly,Yes,5,Sometimes,6,Good,sometimes,Yes,happy,Yes,No,other reasons,No,Yes,Less than 5 hours,Boring,5,4,No,Neutral,Yes,Quiet helpful,Weekly,Female,18-21,Taken,Pre-Engineering,"Professions and applied sciences (Library Science, Museum Studies, Military Science, Real Estate & Property Management, Family & Consumer Science...)",Tunisia,Sousse,Public,7,
10/20/2023 19:56:39,3,5,Yes,Normal,"Social life, Schedule, Exams",Sometimes,Sometimes,Agree,Neutral,No,Never,Yes,5,Sometimes,4,Good,sometimes,No,trying my best,Yes,No,Schedule,Yes,Yes,Less than 5 hours,Boring,6,5,No,Neutral,No,No,Monthly,Male,22-24,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,6,
10/20/2023 19:58:35,7,8,Yes,Positive/Good,"Teacher, Schedule, Administration",Rarely,Sometimes,Disagree,Comfortable,"Yes, occasionally",Weekly,Yes,6,Sometimes,5,Good,sometimes,Yes,trying my best,No,Yes,NULL,Yes,No,7-9 hours,Challenging,5,7,No,Confident,No,NULL,Weekly,Female,18-21,Single,Undergraduate (Bachelor),"Social Sciences ( Business, law, languages, philosophy, religion, mythology....)",Tunisia,Sousse,Private,8,
10/20/2023 20:00:02,1,2,Yes,Normal,"Social life, Subjects",Often,Rarely,Disagree,Neutral,No,Never,Yes,8,Rarely,10,Toxic,sometimes,Yes,struggling,Yes,No,Schedule,Yes,No,5-6 hours,Challenging,7,9,Yes,Neutral,No,NULL,Rarely,Female,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,7,
10/20/2023 20:01:48,5,3,No,Negative/Badly,"Subjects, Schedule, Administration",Rarely,Sometimes,Disagree,Neutral,No,Never,Yes,8,Rarely,6,Stressful,occasionally,No,bored,Yes,No,I have other engagements,No,Yes,5-6 hours,Boring,3,3,No,Neutral,No,No,Rarely,Male,22-24,Single,Undergraduate (Bachelor),"Social Sciences ( Business, law, languages, philosophy, religion, mythology....)",Tunisia,Sousse,Public,1,
10/20/2023 20:01:49,9,8,Yes,Positive/Good,Exams,Sometimes,Rarely,Disagree,Comfortable,"Yes, Too Much",Daily,Yes,5,Often,4,Motivating,never,No,happy,Yes,Yes,NULL,Yes,No,6-7 hours,Intresting,7,5,No,Confident,Yes,Quiet helpful,Daily,Male,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Private,9,
